Strand Name1, Strand Name2, Start Time(YYYY:MM : DD),Stop Time(YYYY:MM : DD),Duration(sec)
YH1->FX0512->XG9, XG9->FX0711->YH2,2017:05:07:21:48:32, 2017:05:07:21:49:26,54
YH1->FX1106->XG9, XG9->FX1206->YH2,2017:05:07:21:51:10, 2017:05:07:21:55:21,251
YH1->FX0611->XG9, XG9->FX1206->YH2,2017:05:07:21:55:21, 2017:05:07:21:56:29,68
YH1->FX0511->XG9, XG9->FX0710->YH2,2017:05:07:21:57:29, 2017:05:07:21:58:46,77
YH1->FX1105->XG9, XG9->FX1205->YH2,2017:05:07:21:59:58, 2017:05:07:22:04:05,247
YH1->FX1204->XG9, XG9->FX1205->YH2,2017:05:07:22:04:05, 2017:05:07:22:05:30,85
YH1->FX0510->XG9, XG9->FX0709->YH2,2017:05:07:22:06:46, 2017:05:07:22:07:45,59
YH1->FX1104->XG9, XG9->FX1204->YH2,2017:05:07:22:09:17, 2017:05:07:22:12:44,207
YH1->FX1203->XG9, XG9->FX1204->YH2,2017:05:07:22:12:44, 2017:05:07:22:14:30,106
YH1->FX1103->XG9, XG9->FX0707->YH2,2017:05:07:22:18:34, 2017:05:07:22:21:18,164
YH1->FX1202->XG9, XG9->FX0707->YH2,2017:05:07:22:21:18, 2017:05:07:22:24:49,211
YH1->FX0607->XG9, XG9->FX0706->YH2,2017:05:07:22:27:46, 2017:05:07:22:32:54,308
YH1->FX1201->XG9, XG9->FX0706->YH2,2017:05:07:22:32:54, 2017:05:07:22:33:14,20
YH1->FX0606->XG9, XG9->FX0705->YH2,2017:05:07:22:37:05, 2017:05:07:22:41:32,267
YH1->FX1212->XG9, XG9->FX1312->YH2,2017:05:07:22:41:40, 2017:05:07:22:43:13,93
YH1->FX0605->XG9, XG9->FX1311->YH2,2017:05:07:22:46:31, 2017:05:07:22:50:24,233
YH1->FX1211->XG9, XG9->FX1311->YH2,2017:05:07:22:50:24, 2017:05:07:22:52:31,127
YH1->FX0604->XG9, XG9->FX1310->YH2,2017:05:07:22:55:35, 2017:05:07:22:59:06,211
YH1->FX1210->XG9, XG9->FX1310->YH2,2017:05:07:22:59:06, 2017:05:07:23:01:42,156
YH1->FX0603->XG9, XG9->FX0802->YH2,2017:05:07:23:02:17, 2017:05:07:23:02:18,1
YH1->FX1209->XG9, XG9->FX1309->YH2,2017:05:07:23:07:45, 2017:05:07:23:10:38,173
YH1->FX0602->XG9, XG9->FX0801->YH2,2017:05:07:23:11:17, 2017:05:07:23:11:51,34
YH1->FX1208->XG9, XG9->FX1308->YH2,2017:05:07:23:16:21, 2017:05:07:23:19:33,192
YH1->FX0601->XG9, XG9->FX0812->YH2,2017:05:07:23:20:20, 2017:05:07:23:21:19,59
YH1->FX1207->XG9, XG9->FX1307->YH2,2017:05:07:23:24:54, 2017:05:07:23:28:25,211
YH1->FX0712->XG9, XG9->FX1307->YH2,2017:05:07:23:28:25, 2017:05:07:23:29:05,40
YH1->FX0612->XG9, XG9->FX0811->YH2,2017:05:07:23:29:35, 2017:05:07:23:30:45,70
YH1->FX1206->XG9, XG9->FX1306->YH2,2017:05:07:23:33:24, 2017:05:07:23:37:14,230
YH1->FX0711->XG9, XG9->FX1306->YH2,2017:05:07:23:37:14, 2017:05:07:23:38:08,54
YH1->FX0611->XG9, XG9->FX0810->YH2,2017:05:07:23:39:14, 2017:05:07:23:40:08,54
YH1->FX1205->XG9, XG9->FX1305->YH2,2017:05:07:23:41:50, 2017:05:07:23:46:01,251
YH1->FX0710->XG9, XG9->FX1305->YH2,2017:05:07:23:46:01, 2017:05:07:23:47:09,68
YH1->FX0610->XG9, XG9->FX0809->YH2,2017:05:07:23:48:10, 2017:05:07:23:49:28,78
YH1->FX1204->XG9, XG9->FX1304->YH2,2017:05:07:23:50:39, 2017:05:07:23:54:44,245
YH1->FX1303->XG9, XG9->FX1304->YH2,2017:05:07:23:54:44, 2017:05:07:23:56:10,86
YH1->FX0609->XG9, XG9->FX0808->YH2,2017:05:07:23:57:28, 2017:05:07:23:58:25,57
YH1->FX1203->XG9, XG9->FX1303->YH2,2017:05:07:23:59:58, 2017:05:08:00:03:23,205
YH1->FX1302->XG9, XG9->FX1303->YH2,2017:05:08:00:03:23, 2017:05:08:00:05:10,107
